order_id,trader_id,symbol,side,quantity,price,timestamp,order_type,commission
ORD001,TRADER_001,AAPL,BUY,1500,174.50,2024-01-15 09:15:23,LIMIT,15.75
ORD002,TRADER_001,GOOGL,SELL,800,141.20,2024-01-15 09:18:45,MARKET,11.30
ORD003,TRADER_002,MSFT,BUY,2000,410.25,2024-01-15 09:22:10,LIMIT,28.90
ORD004,TRADER_002,AMZN,BUY,500,158.75,2024-01-15 09:25:35,LIMIT,8.95
ORD005,TRADER_003,TSLA,SELL,300,255.80,2024-01-15 09:28:12,MARKET,8.65
ORD006,TRADER_003,NVDA,BUY,100,850.00,2024-01-15 09:31:40,LIMIT,9.45
ORD007,TRADER_004,META,BUY,750,480.30,2024-01-15 09:34:55,LIMIT,19.25
ORD008,TRADER_004,NFLX,SELL,200,430.50,2024-01-15 09:37:20,MARKET,9.15
ORD009,TRADER_005,JPM,BUY,3000,165.75,2024-01-15 09:40:08,LIMIT,35.60
ORD010,TRADER_005,WMT,BUY,2500,157.40,2024-01-15 09:43:25,LIMIT,22.15
ORD011,TRADER_006,AAPL,SELL,1000,176.80,2024-01-15 09:46:50,MARKET,18.95
ORD012,TRADER_006,GOOGL,BUY,1200,139.85,2024-01-15 09:49:15,LIMIT,18.75
ORD013,TRADER_007,MSFT,SELL,500,420.15,2024-01-15 09:52:30,MARKET,11.85
ORD014,TRADER_007,AMZN,BUY,800,154.60,2024-01-15 09:55:45,LIMIT,13.95
ORD015,TRADER_008,TSLA,BUY,600,245.90,2024-01-15 09:58:10,LIMIT,16.65
ORD016,TRADER_008,NVDA,SELL,150,880.45,2024-01-15 10:01:35,MARKET,14.75
ORD017,TRADER_009,META,SELL,900,490.25,2024-01-15 10:04:50,MARKET,24.85
ORD018,TRADER_009,NFLX,BUY,400,420.75,2024-01-15 10:07:15,LIMIT,18.95
ORD019,TRADER_010,JPM,SELL,1200,170.30,2024-01-15 10:10:40,MARKET,23.15
ORD020,TRADER_010,WMT,BUY,1800,158.90,2024-01-15 10:13:55,LIMIT,32.25
